Reference, Value, Footprint, Datasheet, Part URL
"U1","STM32F072RBTx","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00090510.pdf","https://es.aliexpress.com/item/4001114352067.html"
"C1","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"SW93","Rotary_Encoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","https://www.farnell.com/datasheets/1837001.pdf","https://es.aliexpress.com/item/1744383771.html"
"C2","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"SW92","SW_Push","Button_Switch_SMD:SW_SPST_TL3342","https://datasheet.lcsc.com/lcsc/2109061530_E-Switch-TL3342F160QG_C2886898.pdf","https://lcsc.com/product-detail/Tactile-Switches_E-Switch-TL3342F160QG_C2886898.html"
"R1","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","Home"
"C3","100nF","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809211526_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.pdf","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603F104M500NT_C42998.html"
"SW91","SW_Push","Button_Switch_SMD:SW_SPST_TL3342","https://datasheet.lcsc.com/lcsc/2109061530_E-Switch-TL3342F160QG_C2886898.pdf","https://lcsc.com/product-detail/Tactile-Switches_E-Switch-TL3342F160QG_C2886898.html"
"R3","5.1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","Home"
"R2","5.1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","Home"
